region_id,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,W92000004,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Indian,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,Student/schoolchild living away during term-time,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Other White,Day-to-day activities limited a little,Day-to-day activities limited a lot,Day-to-day activities not limited,Persons who are not a usual resident_x,Household is deprived in 1 dimension,Household is deprived in 2 dimensions,Household is deprived in 3 dimensions,Household is deprived in 4 dimensions,Household not deprived in any dimension,Persons who are not a usual resident_y
E12000001,100,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,66.67,0.0,0.0,33.33,0.0
E12000002,0,100,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,86.36,0.0,9.09,4.55,9.09,86.36,0.0,31.82,18.18,0.0,0.0,50.0,0.0
E12000003,0,0,100,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,9.09,0.0,0.0,0.0,0.0,72.73,0.0,0.0,0.0,0.0,100.0,0.0,27.27,9.09,9.09,0.0,45.45,9.09
E12000004,0,0,0,100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,8.33,75.0,0.0,8.33,8.33,0.0,83.33,8.33,25.0,16.67,8.33,0.0,50.0,0.0
E12000005,0,0,0,0,100,0,0,0,0,0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,6.25,6.25,12.5,6.25,81.25,0.0,12.5,31.25,0.0,0.0,56.25,0.0
E12000006,0,0,0,0,0,100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,7.69,7.69,84.62,0.0,15.38,23.08,0.0,0.0,61.54,0.0
E12000007,0,0,0,0,0,0,100,0,0,0,3.7,0.0,11.11,3.7,3.7,11.11,3.7,3.7,3.7,3.7,3.7,7.41,33.33,0.0,7.41,3.7,22.22,66.67,7.41,33.33,29.63,3.7,3.7,29.63,0.0
E12000008,0,0,0,0,0,0,0,100,0,0,3.85,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,80.77,0.0,7.69,15.38,11.54,69.23,3.85,30.77,11.54,7.69,3.85,42.31,3.85
E12000009,0,0,0,0,0,0,0,0,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16.67,8.33,75.0,0.0,33.33,16.67,8.33,0.0,41.67,0.0
W92000004,0,0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.5,0.0,87.5,0.0,0.0,12.5,0.0,0.0,87.5,0.0
